Country,Prefix
Albania,355
Andorra,376
Armenia,376
Austria,43
Belarus,375
Belgium,32
Bosnia and Herzegovina,387
Bulgaria,359
Croatia,385
Cyprus,357
Czech Republic,420
Denmark,45
Estonia,372
Finland,358
France,33
Georgia,995
Germany,49
Greece,30
Hungary,36
Iceland,354
Ireland,353
Italy,39
Kosovo,383
Latvia,371
Liechtenstein,423
Lithuania,370
Luxembourg,352
Malta,356
Moldova,373
Monaco,377
Montenegro,382
Netherlands,31
North Macedonia,389
Norway,47
Poland,48
Portugal,351
Romania,40
Russia,7
San Marino,378
Serbia,381
Slovakia,421
Slovenia,386
Spain,34
Sweden,46
Switzerland,41
Turkey,90
Ukraine,380
United Kingdom,44
